algorithm,signal_type,distance_m,sample_id,error_m,est_x_m,est_y_m,freq_band_Hz
CBF,projector,1,bubble 01 1000Hz .wav,1.968894,-1.888889,0.444444,1000-12000
MVDR,projector,1,bubble 01 1000Hz .wav,1.001542,-0.055556,0.000000,1000-12000
MUSIC,projector,1,bubble 01 1000Hz .wav,1.388889,0.833333,2.111111,1000-12000
MUSIC_CSDM,projector,1,bubble 01 1000Hz .wav,0.680981,-0.666667,1.138889,1000-12000
CBF,projector,1,bubble 02 1000Hz .wav,1.960450,-1.833333,0.305556,1000-12000
MVDR,projector,1,bubble 02 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 02 1000Hz .wav,1.372402,1.111111,0.194444,1000-12000
MUSIC_CSDM,projector,1,bubble 02 1000Hz .wav,1.308212,1.305556,1.083333,1000-12000
CBF,projector,1,bubble 03 1000Hz .wav,1.950783,-1.833333,0.333333,1000-12000
MVDR,projector,1,bubble 03 1000Hz .wav,1.001542,-0.055556,0.000000,1000-12000
MUSIC,projector,1,bubble 03 1000Hz .wav,1.701942,0.750000,2.527778,1000-12000
MUSIC_CSDM,projector,1,bubble 03 1000Hz .wav,1.051527,-0.222222,2.027778,1000-12000
CBF,projector,1,bubble 04 1000Hz .wav,1.872684,-1.750000,0.333333,1000-12000
MVDR,projector,1,bubble 04 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 04 1000Hz .wav,3.933278,0.361111,4.916667,1000-12000
MUSIC_CSDM,projector,1,bubble 04 1000Hz .wav,3.366731,0.638889,4.305556,1000-12000
CBF,projector,1,bubble 05 1000Hz .wav,2.039729,-1.777778,0.000000,1000-12000
MVDR,projector,1,bubble 05 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 05 1000Hz .wav,0.580017,-0.166667,0.444444,1000-12000
MUSIC_CSDM,projector,1,bubble 05 1000Hz .wav,0.752055,-0.055556,0.250000,1000-12000
CBF,projector,1,bubble 06 1000Hz .wav,1.963400,-1.777778,0.166667,1000-12000
MVDR,projector,1,bubble 06 1000Hz .wav,1.001542,-0.055556,0.000000,1000-12000
MUSIC,projector,1,bubble 06 1000Hz .wav,3.092454,-2.916667,2.027778,1000-12000
MUSIC_CSDM,projector,1,bubble 06 1000Hz .wav,0.512197,0.333333,0.611111,1000-12000
CBF,projector,1,bubble 07 1000Hz .wav,1.991494,-1.722222,0.000000,1000-12000
MVDR,projector,1,bubble 07 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 07 1000Hz .wav,4.037823,-1.861111,4.583333,1000-12000
MUSIC_CSDM,projector,1,bubble 07 1000Hz .wav,0.599640,-0.138889,0.416667,1000-12000
CBF,projector,1,bubble 08 1000Hz .wav,1.967522,-1.694444,0.000000,1000-12000
MVDR,projector,1,bubble 08 1000Hz .wav,0.918349,-0.055556,0.083333,1000-12000
MUSIC,projector,1,bubble 08 1000Hz .wav,1.533826,0.888889,2.250000,1000-12000
MUSIC_CSDM,projector,1,bubble 08 1000Hz .wav,2.598225,0.277778,3.583333,1000-12000
CBF,projector,1,bubble 09 1000Hz .wav,1.943651,-1.666667,0.000000,1000-12000
MVDR,projector,1,bubble 09 1000Hz .wav,0.973808,-0.055556,0.027778,1000-12000
MUSIC,projector,1,bubble 09 1000Hz .wav,1.184389,-0.916667,0.250000,1000-12000
MUSIC_CSDM,projector,1,bubble 09 1000Hz .wav,2.546633,-1.138889,3.277778,1000-12000
CBF,projector,1,bubble 10 1000Hz .wav,1.943651,-1.666667,0.000000,1000-12000
MVDR,projector,1,bubble 10 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 10 1000Hz .wav,2.203042,2.194444,0.805556,1000-12000
MUSIC_CSDM,projector,1,bubble 10 1000Hz .wav,2.041619,0.527778,2.972222,1000-12000
CBF,projector,1,bubble 11 1000Hz .wav,1.943651,-1.666667,0.000000,1000-12000
MVDR,projector,1,bubble 11 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 11 1000Hz .wav,0.202225,-0.055556,0.805556,1000-12000
MUSIC_CSDM,projector,1,bubble 11 1000Hz .wav,0.055556,0.000000,1.055556,1000-12000
CBF,projector,1,bubble 12 1000Hz .wav,1.896228,-1.611111,0.000000,1000-12000
MVDR,projector,1,bubble 12 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 12 1000Hz .wav,2.525182,1.611111,2.944444,1000-12000
MUSIC_CSDM,projector,1,bubble 12 1000Hz .wav,0.385901,0.194444,0.666667,1000-12000
CBF,projector,1,bubble 13 1000Hz .wav,1.849257,-1.555556,0.000000,1000-12000
MVDR,projector,1,bubble 13 1000Hz .wav,0.973808,-0.055556,0.027778,1000-12000
MUSIC,projector,1,bubble 13 1000Hz .wav,1.118034,0.500000,0.000000,1000-12000
MUSIC_CSDM,projector,1,bubble 13 1000Hz .wav,0.944853,0.027778,1.944444,1000-12000
CBF,projector,1,bubble 14 1000Hz .wav,5.000694,-0.083333,6.000000,1000-12000
MVDR,projector,1,bubble 14 1000Hz .wav,0.918349,-0.055556,0.083333,1000-12000
MUSIC,projector,1,bubble 14 1000Hz .wav,0.549972,0.388889,0.611111,1000-12000
MUSIC_CSDM,projector,1,bubble 14 1000Hz .wav,3.082833,2.805556,2.277778,1000-12000
CBF,projector,1,bubble 15 1000Hz .wav,5.000309,-0.055556,6.000000,1000-12000
MVDR,projector,1,bubble 15 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 15 1000Hz .wav,0.687184,-0.166667,0.333333,1000-12000
MUSIC_CSDM,projector,1,bubble 15 1000Hz .wav,0.141639,0.027778,0.861111,1000-12000
CBF,projector,1,bubble 16 1000Hz .wav,5.000694,-0.083333,6.000000,1000-12000
MVDR,projector,1,bubble 16 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 16 1000Hz .wav,1.150013,-0.694444,0.083333,1000-12000
MUSIC_CSDM,projector,1,bubble 16 1000Hz .wav,2.288255,-2.250000,1.416667,1000-12000
CBF,projector,1,bubble 17 1000Hz .wav,5.000309,-0.055556,6.000000,1000-12000
MVDR,projector,1,bubble 17 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 17 1000Hz .wav,1.961237,-1.555556,2.194444,1000-12000
MUSIC_CSDM,projector,1,bubble 17 1000Hz .wav,2.806793,2.805556,0.916667,1000-12000
CBF,projector,1,bubble 18 1000Hz .wav,5.000694,-0.083333,6.000000,1000-12000
MVDR,projector,1,bubble 18 1000Hz .wav,0.918349,-0.055556,0.083333,1000-12000
MUSIC,projector,1,bubble 18 1000Hz .wav,0.323942,-0.166667,1.277778,1000-12000
MUSIC_CSDM,projector,1,bubble 18 1000Hz .wav,0.177865,-0.111111,0.861111,1000-12000
CBF,projector,1,bubble 19 1000Hz .wav,5.000077,-0.027778,6.000000,1000-12000
MVDR,projector,1,bubble 19 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 19 1000Hz .wav,1.223484,1.222222,1.055556,1000-12000
MUSIC_CSDM,projector,1,bubble 19 1000Hz .wav,3.850004,2.694444,3.750000,1000-12000
CBF,projector,1,bubble 20 1000Hz .wav,5.000077,-0.027778,6.000000,1000-12000
MVDR,projector,1,bubble 20 1000Hz .wav,1.000386,-0.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 20 1000Hz .wav,0.559017,0.500000,1.250000,1000-12000
MUSIC_CSDM,projector,1,bubble 20 1000Hz .wav,0.918349,-0.055556,1.916667,1000-12000
CBF,projector,2,bubble 01 1000Hz .wav,3.162278,3.000000,1.000000,1000-12000
MVDR,projector,2,bubble 01 1000Hz .wav,2.023206,-0.305556,0.000000,1000-12000
MUSIC,projector,2,bubble 01 1000Hz .wav,0.492223,0.138889,1.527778,1000-12000
MUSIC_CSDM,projector,2,bubble 01 1000Hz .wav,1.433990,-1.027778,3.000000,1000-12000
CBF,projector,2,bubble 02 1000Hz .wav,2.639327,1.722222,0.000000,1000-12000
MVDR,projector,2,bubble 02 1000Hz .wav,2.023206,-0.305556,0.000000,1000-12000
MUSIC,projector,2,bubble 02 1000Hz .wav,1.325207,0.722222,0.888889,1000-12000
MUSIC_CSDM,projector,2,bubble 02 1000Hz .wav,1.250000,0.000000,0.750000,1000-12000
CBF,projector,2,bubble 03 1000Hz .wav,1.925303,-1.333333,0.611111,1000-12000
MVDR,projector,2,bubble 03 1000Hz .wav,2.012308,-0.222222,0.000000,1000-12000
MUSIC,projector,2,bubble 03 1000Hz .wav,1.250000,0.000000,0.750000,1000-12000
MUSIC_CSDM,projector,2,bubble 03 1000Hz .wav,3.790929,-0.555556,5.750000,1000-12000
CBF,projector,2,bubble 04 1000Hz .wav,1.622565,-1.277778,1.000000,1000-12000
MVDR,projector,2,bubble 04 1000Hz .wav,2.023206,-0.305556,0.000000,1000-12000
MUSIC,projector,2,bubble 04 1000Hz .wav,1.945436,1.333333,0.583333,1000-12000
MUSIC_CSDM,projector,2,bubble 04 1000Hz .wav,1.329276,-0.583333,3.194444,1000-12000
CBF,projector,2,bubble 05 1000Hz .wav,2.025493,-1.500000,0.638889,1000-12000
MVDR,projector,2,bubble 05 1000Hz .wav,0.372678,0.166667,1.666667,1000-12000
MUSIC,projector,2,bubble 05 1000Hz .wav,1.003466,0.666667,1.250000,1000-12000
MUSIC_CSDM,projector,2,bubble 05 1000Hz .wav,2.373009,1.861111,0.527778,1000-12000
CBF,projector,2,bubble 06 1000Hz .wav,2.621286,-1.694444,4.000000,1000-12000
MVDR,projector,2,bubble 06 1000Hz .wav,3.004626,3.000000,2.166667,1000-12000
MUSIC,projector,2,bubble 06 1000Hz .wav,1.667592,0.055556,0.333333,1000-12000
MUSIC_CSDM,projector,2,bubble 06 1000Hz .wav,1.057017,-0.055556,0.944444,1000-12000
CBF,projector,2,bubble 07 1000Hz .wav,4.411772,1.861111,6.000000,1000-12000
MVDR,projector,2,bubble 07 1000Hz .wav,2.012308,-0.222222,0.000000,1000-12000
MUSIC,projector,2,bubble 07 1000Hz .wav,0.100154,0.055556,1.916667,1000-12000
MUSIC_CSDM,projector,2,bubble 07 1000Hz .wav,1.166997,0.027778,0.833333,1000-12000
CBF,projector,2,bubble 08 1000Hz .wav,2.161854,-1.916667,3.000000,1000-12000
MVDR,projector,2,bubble 08 1000Hz .wav,0.528508,0.527778,1.972222,1000-12000
MUSIC,projector,2,bubble 08 1000Hz .wav,1.862976,-0.083333,0.138889,1000-12000
MUSIC_CSDM,projector,2,bubble 08 1000Hz .wav,4.062209,2.361111,5.305556,1000-12000
CBF,projector,2,bubble 09 1000Hz .wav,2.867980,-2.055556,0.000000,1000-12000
MVDR,projector,2,bubble 09 1000Hz .wav,1.170958,0.444444,0.916667,1000-12000
MUSIC,projector,2,bubble 09 1000Hz .wav,3.484202,2.027778,4.833333,1000-12000
MUSIC_CSDM,projector,2,bubble 09 1000Hz .wav,4.001543,0.111111,6.000000,1000-12000
CBF,projector,2,bubble 10 1000Hz .wav,2.867980,-2.055556,0.000000,1000-12000
MVDR,projector,2,bubble 10 1000Hz .wav,2.156135,-0.805556,0.000000,1000-12000
MUSIC,projector,2,bubble 10 1000Hz .wav,1.495879,-0.388889,3.444444,1000-12000
MUSIC_CSDM,projector,2,bubble 10 1000Hz .wav,1.155369,-0.527778,0.972222,1000-12000
CBF,projector,2,bubble 11 1000Hz .wav,2.908056,-2.111111,0.000000,1000-12000
MVDR,projector,2,bubble 11 1000Hz .wav,1.298741,-0.861111,1.027778,1000-12000
MUSIC,projector,2,bubble 11 1000Hz .wav,1.257692,0.861111,1.083333,1000-12000
MUSIC_CSDM,projector,2,bubble 11 1000Hz .wav,1.798919,-0.416667,0.250000,1000-12000
CBF,projector,2,bubble 12 1000Hz .wav,3.073181,-2.333333,0.000000,1000-12000
MVDR,projector,2,bubble 12 1000Hz .wav,2.108185,-0.666667,0.000000,1000-12000
MUSIC,projector,2,bubble 12 1000Hz .wav,2.770128,1.916667,0.000000,1000-12000
MUSIC_CSDM,projector,2,bubble 12 1000Hz .wav,1.172275,0.944444,1.305556,1000-12000
CBF,projector,2,bubble 13 1000Hz .wav,3.031216,-2.277778,0.000000,1000-12000
MVDR,projector,2,bubble 13 1000Hz .wav,1.629682,-0.805556,0.583333,1000-12000
MUSIC,projector,2,bubble 13 1000Hz .wav,1.886027,-1.305556,0.638889,1000-12000
MUSIC_CSDM,projector,2,bubble 13 1000Hz .wav,1.530049,-0.416667,3.472222,1000-12000
CBF,projector,2,bubble 14 1000Hz .wav,2.004817,0.138889,0.000000,1000-12000
MVDR,projector,2,bubble 14 1000Hz .wav,1.915056,-0.777778,0.250000,1000-12000
MUSIC,projector,2,bubble 14 1000Hz .wav,1.650150,-0.972222,3.333333,1000-12000
MUSIC_CSDM,projector,2,bubble 14 1000Hz .wav,1.009981,0.861111,2.527778,1000-12000
CBF,projector,2,bubble 15 1000Hz .wav,3.010399,-2.250000,0.000000,1000-12000
MVDR,projector,2,bubble 15 1000Hz .wav,1.841941,-0.722222,0.305556,1000-12000
MUSIC,projector,2,bubble 15 1000Hz .wav,2.567154,0.583333,4.500000,1000-12000
MUSIC_CSDM,projector,2,bubble 15 1000Hz .wav,1.556795,-0.416667,0.500000,1000-12000
CBF,projector,2,bubble 16 1000Hz .wav,1.805556,0.444444,0.250000,1000-12000
MVDR,projector,2,bubble 16 1000Hz .wav,1.996332,-0.722222,0.138889,1000-12000
MUSIC,projector,2,bubble 16 1000Hz .wav,2.043131,1.416667,0.527778,1000-12000
MUSIC_CSDM,projector,2,bubble 16 1000Hz .wav,1.810890,0.138889,3.805556,1000-12000
CBF,projector,2,bubble 17 1000Hz .wav,1.610393,0.416667,0.444444,1000-12000
