condition,algorithm,snr_db,n,mean_err_m,std_err_m,median_err_m,success_rate_le_0.5m
5000Hz_3,CBF,clean,20,0.6389,0.0000,0.6389,0.000
5000Hz_3,CBF,20,20,0.6347,0.0099,0.6389,0.000
5000Hz_3,CBF,15,20,0.6319,0.0120,0.6389,0.000
5000Hz_3,CBF,10,20,0.7485,0.5033,0.6389,0.000
5000Hz_3,CBF,5,20,1.3001,1.0371,0.6389,0.000
5000Hz_3,CBF,0,20,1.8950,1.0719,2.5692,0.000
5000Hz_3,CBF,-5,20,2.3028,0.9325,2.7142,0.050
5000Hz_3,CBF,-10,20,2.2220,0.8212,2.5130,0.100
5000Hz_3,CBF,-15,20,2.3323,0.9163,2.6552,0.050
5000Hz_3,CBF,-20,20,1.5647,0.7858,1.5973,0.150
5000Hz_3,MVDR,clean,20,0.1944,0.0000,0.1944,1.000
5000Hz_3,MVDR,20,20,0.1846,0.0175,0.1817,1.000
5000Hz_3,MVDR,15,20,0.1822,0.0263,0.1690,1.000
5000Hz_3,MVDR,10,20,0.4259,0.6635,0.2093,0.850
5000Hz_3,MVDR,5,20,1.6793,0.9994,1.8260,0.250
5000Hz_3,MVDR,0,20,2.2257,1.0090,2.7828,0.100
5000Hz_3,MVDR,-5,20,2.3858,0.7634,2.5672,0.050
5000Hz_3,MVDR,-10,20,1.9151,0.7265,2.0152,0.050
5000Hz_3,MVDR,-15,20,2.1144,0.6459,2.2238,0.000
5000Hz_3,MVDR,-20,20,2.4034,0.5720,2.4469,0.000
5000Hz_3,MUSIC,clean,20,1.7402,0.8182,1.4885,0.050
5000Hz_3,MUSIC,20,20,2.3715,0.4831,2.4849,0.000
5000Hz_3,MUSIC,15,20,2.3264,0.6006,2.2252,0.000
5000Hz_3,MUSIC,10,20,1.9384,0.9173,1.9350,0.050
5000Hz_3,MUSIC,5,20,2.5718,0.7866,2.7397,0.000
5000Hz_3,MUSIC,0,20,2.2690,0.9264,2.5655,0.000
5000Hz_3,MUSIC,-5,20,2.3291,0.7613,2.4605,0.000
5000Hz_3,MUSIC,-10,20,2.2872,0.7073,2.4906,0.000
5000Hz_3,MUSIC,-15,20,2.0128,0.7888,2.1517,0.100
5000Hz_3,MUSIC,-20,20,2.1358,0.8164,2.3389,0.050
5000Hz_3,MUSIC_CSDM,clean,20,0.5324,0.0994,0.5143,0.450
5000Hz_3,MUSIC_CSDM,20,20,1.5702,1.1810,1.9548,0.400
5000Hz_3,MUSIC_CSDM,15,20,1.4775,0.9259,1.7471,0.300
5000Hz_3,MUSIC_CSDM,10,20,1.3577,0.8428,1.3729,0.250
5000Hz_3,MUSIC_CSDM,5,20,2.0054,0.7518,1.9319,0.050
5000Hz_3,MUSIC_CSDM,0,20,2.1684,0.9463,2.5002,0.100
5000Hz_3,MUSIC_CSDM,-5,20,2.3005,0.8591,2.5672,0.050
5000Hz_3,MUSIC_CSDM,-10,20,1.9005,0.7276,1.9650,0.050
5000Hz_3,MUSIC_CSDM,-15,20,2.1144,0.6459,2.2238,0.000
5000Hz_3,MUSIC_CSDM,-20,20,2.4034,0.5720,2.4469,0.000
3000Hz_2,CBF,clean,20,0.8876,0.8561,0.8669,0.500
3000Hz_2,CBF,20,20,1.0598,0.8346,1.6840,0.400
3000Hz_2,CBF,15,20,0.8836,0.8550,0.8461,0.500
3000Hz_2,CBF,10,20,0.9692,0.8464,1.6782,0.450
3000Hz_2,CBF,5,20,0.9759,0.9172,1.0397,0.450
3000Hz_2,CBF,0,20,1.1596,0.8551,1.4821,0.350
3000Hz_2,CBF,-5,20,1.0920,0.6509,1.2086,0.250
3000Hz_2,CBF,-10,20,1.5930,0.8353,1.6167,0.150
3000Hz_2,CBF,-15,20,1.5026,0.5848,1.4917,0.050
3000Hz_2,CBF,-20,20,1.4771,0.4609,1.4776,0.000
3000Hz_2,MVDR,clean,20,0.4097,0.0711,0.4145,0.900
3000Hz_2,MVDR,20,20,0.4047,0.0703,0.4045,0.950
3000Hz_2,MVDR,15,20,0.4804,0.3740,0.4045,0.950
3000Hz_2,MVDR,10,20,0.4171,0.0778,0.4279,0.850
3000Hz_2,MVDR,5,20,0.3943,0.0684,0.3977,0.900
3000Hz_2,MVDR,0,20,0.6020,0.4973,0.4085,0.700
3000Hz_2,MVDR,-5,20,1.2478,0.9354,0.9386,0.300
3000Hz_2,MVDR,-10,20,1.8607,0.5967,1.8791,0.000
3000Hz_2,MVDR,-15,20,1.6464,0.8579,1.7016,0.050
3000Hz_2,MVDR,-20,20,1.7900,0.6293,1.7131,0.050
3000Hz_2,MUSIC,clean,20,1.5400,1.1027,1.1912,0.100
3000Hz_2,MUSIC,20,20,1.7499,0.8845,1.6276,0.100
3000Hz_2,MUSIC,15,20,1.6448,0.7692,1.5918,0.100
3000Hz_2,MUSIC,10,20,1.3797,0.8689,1.2623,0.100
3000Hz_2,MUSIC,5,20,1.4423,0.4717,1.6199,0.000
3000Hz_2,MUSIC,0,20,1.4638,0.6740,1.5458,0.000
3000Hz_2,MUSIC,-5,20,2.0027,0.8880,2.0262,0.100
3000Hz_2,MUSIC,-10,20,1.7524,0.5406,1.6234,0.000
3000Hz_2,MUSIC,-15,20,1.3862,0.8356,1.3811,0.150
3000Hz_2,MUSIC,-20,20,1.6028,0.7718,1.4173,0.000
3000Hz_2,MUSIC_CSDM,clean,20,3.5952,1.0216,4.0004,0.050
3000Hz_2,MUSIC_CSDM,20,20,1.2307,0.9290,1.0567,0.250
3000Hz_2,MUSIC_CSDM,15,20,1.6732,1.0905,1.5104,0.200
3000Hz_2,MUSIC_CSDM,10,20,1.4771,0.5723,1.5222,0.050
3000Hz_2,MUSIC_CSDM,5,20,1.5771,1.0427,1.4746,0.150
3000Hz_2,MUSIC_CSDM,0,20,1.7829,0.7100,1.7643,0.050
3000Hz_2,MUSIC_CSDM,-5,20,1.6797,0.9901,1.6343,0.100
3000Hz_2,MUSIC_CSDM,-10,20,1.7764,0.5959,1.8080,0.000
3000Hz_2,MUSIC_CSDM,-15,20,1.6348,0.9334,1.6459,0.100
3000Hz_2,MUSIC_CSDM,-20,20,1.7595,0.6091,1.7131,0.050
1000Hz_1,CBF,clean,20,3.0147,1.4576,1.9682,0.000
1000Hz_1,CBF,20,20,3.0171,1.4558,1.9714,0.000
1000Hz_1,CBF,15,20,3.1395,1.4880,2.0360,0.000
1000Hz_1,CBF,10,20,2.9131,1.4239,1.9557,0.000
1000Hz_1,CBF,5,20,3.2365,1.4525,2.1817,0.000
1000Hz_1,CBF,0,20,2.8006,1.2988,2.1320,0.000
1000Hz_1,CBF,-5,20,1.8778,0.9076,1.6849,0.000
1000Hz_1,CBF,-10,20,1.5465,0.6800,1.1897,0.000
1000Hz_1,CBF,-15,20,1.3860,0.9698,1.0258,0.200
1000Hz_1,CBF,-20,20,2.2038,1.2684,2.2238,0.050
1000Hz_1,MVDR,clean,20,0.9856,0.0294,1.0004,0.000
1000Hz_1,MVDR,20,20,0.9870,0.0342,1.0004,0.000
1000Hz_1,MVDR,15,20,0.9747,0.0354,1.0004,0.000
1000Hz_1,MVDR,10,20,0.9580,0.0431,0.9599,0.000
1000Hz_1,MVDR,5,20,0.9525,0.0585,1.0002,0.000
1000Hz_1,MVDR,0,20,0.9288,0.0846,0.9453,0.000
1000Hz_1,MVDR,-5,20,0.8151,0.1252,0.7827,0.000
1000Hz_1,MVDR,-10,20,1.0893,1.0106,0.6419,0.300
1000Hz_1,MVDR,-15,20,1.7640,1.3542,1.1095,0.050
1000Hz_1,MVDR,-20,20,1.5803,0.8537,1.4022,0.000
1000Hz_1,MUSIC,clean,20,1.5664,1.0827,1.2979,0.100
1000Hz_1,MUSIC,20,20,1.8009,1.2545,1.6804,0.150
1000Hz_1,MUSIC,15,20,1.6579,0.9753,1.4463,0.100
1000Hz_1,MUSIC,10,20,1.9054,0.9794,1.8597,0.000
1000Hz_1,MUSIC,5,20,1.7323,1.0081,1.3046,0.050
1000Hz_1,MUSIC,0,20,1.7352,1.0589,1.5614,0.100
1000Hz_1,MUSIC,-5,20,1.7248,1.0420,1.6756,0.100
1000Hz_1,MUSIC,-10,20,1.6503,0.8798,1.3528,0.050
1000Hz_1,MUSIC,-15,20,1.8225,1.0998,1.6317,0.100
1000Hz_1,MUSIC,-20,20,1.7139,1.2338,1.2718,0.050
1000Hz_1,MUSIC_CSDM,clean,20,1.5055,1.1674,0.9982,0.200
1000Hz_1,MUSIC_CSDM,20,20,1.1730,0.9067,0.8887,0.300
1000Hz_1,MUSIC_CSDM,15,20,1.3463,1.1221,0.9918,0.200
1000Hz_1,MUSIC_CSDM,10,20,1.5761,1.0327,1.2836,0.100
