condition,algorithm,snr_db,sample_id,error_m,est_x_m,est_y_m
5000Hz_3,CBF,clean,bubble 01 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 01 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 01 5000Hz .wav,2.708725,2.638889,3.611111
5000Hz_3,MUSIC_CSDM,clean,bubble 01 5000Hz .wav,0.527778,0.000000,2.472222
5000Hz_3,CBF,20,bubble 01 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,20,bubble 01 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,20,bubble 01 5000Hz .wav,2.530219,-2.527778,3.111111
5000Hz_3,MUSIC_CSDM,20,bubble 01 5000Hz .wav,2.653468,1.361111,0.722222
5000Hz_3,CBF,15,bubble 01 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,15,bubble 01 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,15,bubble 01 5000Hz .wav,1.984702,1.444444,1.638889
5000Hz_3,MUSIC_CSDM,15,bubble 01 5000Hz .wav,0.222222,0.000000,2.777778
5000Hz_3,CBF,10,bubble 01 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,10,bubble 01 5000Hz .wav,0.166667,0.000000,2.833333
5000Hz_3,MUSIC,10,bubble 01 5000Hz .wav,1.832491,0.444444,1.222222
5000Hz_3,MUSIC_CSDM,10,bubble 01 5000Hz .wav,2.755606,0.694444,0.333333
5000Hz_3,CBF,5,bubble 01 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,5,bubble 01 5000Hz .wav,3.290582,1.888889,0.305556
5000Hz_3,MUSIC,5,bubble 01 5000Hz .wav,2.396628,-1.666667,1.277778
5000Hz_3,MUSIC_CSDM,5,bubble 01 5000Hz .wav,3.290582,1.888889,0.305556
5000Hz_3,CBF,0,bubble 01 5000Hz .wav,2.914549,1.111111,0.305556
5000Hz_3,MVDR,0,bubble 01 5000Hz .wav,3.221504,-2.250000,5.305556
5000Hz_3,MUSIC,0,bubble 01 5000Hz .wav,2.626139,-0.472222,0.416667
5000Hz_3,MUSIC_CSDM,0,bubble 01 5000Hz .wav,3.162400,-2.222222,5.250000
5000Hz_3,CBF,-5,bubble 01 5000Hz .wav,2.890224,-0.694444,0.194444
